Id,SalePrice
1461,113606.640625
1462,165275.71875
1463,186305.53125
1464,189615.71875
1465,178487.46875
1466,179985.359375
1467,163636.0
1468,185004.1875
1469,197850.453125
1470,102089.445312
1471,157722.078125
1472,88160.328125
1473,82553.7734375
1474,145897.046875
1475,112336.523438
1476,381903.5625
1477,232088.625
1478,288342.1875
1479,270955.875
1480,518406.5
1481,354744.40625
1482,187654.15625
1483,192356.125
1484,151584.6875
1485,164908.875
1486,180337.578125
1487,339039.34375
1488,272223.96875
1489,158789.421875
1490,214890.421875
1491,195026.0
1492,86035.1875
1493,183133.28125
1494,312481.28125
1495,287714.53125
1496,230429.25
1497,195007.40625
1498,143763.796875
1499,143823.734375
1500,153814.625
1501,180406.375
1502,125563.0625
1503,242073.0
1504,221065.078125
1505,219062.734375
1506,197791.03125
1507,290749.21875
1508,191316.609375
1509,150219.703125
1510,142870.890625
1511,140063.828125
1512,180022.609375
1513,165653.171875
1514,172270.9375
1515,255396.609375
1516,142404.984375
1517,175888.28125
1518,148803.40625
1519,247018.421875
1520,137986.65625
1521,136527.15625
1522,135620.0625
1523,128430.304688
1524,133284.53125
1525,125326.429688
1526,116591.359375
1527,92788.0546875
1528,132558.9375
1529,145495.484375
1530,198223.078125
1531,112610.257812
1532,80930.7109375
1533,131652.71875
1534,128732.695312
1535,156503.328125
1536,125638.523438
1537,82715.875
1538,128931.859375
1539,140695.71875
1540,126860.828125
1541,136448.921875
1542,145900.25
1543,236857.640625
1544,73990.9140625
1545,101740.328125
1546,96255.921875
1547,126926.054688
1548,124279.523438
1549,100799.851562
1550,147512.96875
1551,97886.578125
1552,121100.054688
1553,115482.875
1554,142501.03125
1555,182304.890625
1556,122882.351562
1557,120389.34375
1558,79610.90625
1559,136040.546875
1560,127750.5
1561,145550.03125
1562,104938.28125
1563,115048.335938
1564,143840.46875
1565,145419.1875
1566,181189.171875
1567,69919.234375
1568,202295.25
1569,164447.46875
1570,118806.140625
1571,128595.757812
1572,140239.71875
1573,230760.65625
1574,135241.0
1575,176335.03125
1576,215504.671875
1577,179810.359375
1578,120494.679688
1579,141672.15625
1580,191233.984375
1581,137944.421875
1582,110213.757812
